"winlogbeat_id";"winlogbeat_msg"
"WINLOGBEAT_4735";"A security-enabled local group was changed"
"WINLOGBEAT_4737";"A security-enabled global group was changed"
"WINLOGBEAT_4738";"A user account was changed"
"WINLOGBEAT_4739";"Domain Policy was changed"
"WINLOGBEAT_4740";"A user account was locked out"
"WINLOGBEAT_4741";"A computer account was created"
"WINLOGBEAT_4742";"A computer account was changed"
"WINLOGBEAT_4743";"A computer account was deleted"
"WINLOGBEAT_4744";"A security-disabled local group was created"
"WINLOGBEAT_4745";"A security-disabled local group was changed"
"WINLOGBEAT_4746";"A member was added to a security-disabled local group"
"WINLOGBEAT_4747";"A member was removed from a security-disabled local group"
"WINLOGBEAT_4748";"A security-disabled local group was deleted"
"WINLOGBEAT_4749";"A security-disabled global group was created"
"WINLOGBEAT_4750";"A security-disabled global group was changed"
"WINLOGBEAT_4751";"A member was added to a security-disabled global group"
"WINLOGBEAT_4752";"A member was removed from a security-disabled global group"
"WINLOGBEAT_4753";"A security-disabled global group was deleted"
"WINLOGBEAT_4754";"A security-enabled universal group was created"
"WINLOGBEAT_4755";"A security-enabled universal group was changed"
"WINLOGBEAT_4756";"A member was added to a security-enabled universal group"
"WINLOGBEAT_4757";"A member was removed from a security-enabled universal group"
"WINLOGBEAT_4758";"A security-enabled universal group was deleted"
"WINLOGBEAT_4759";"A security-disabled universal group was created"
"WINLOGBEAT_4760";"A security-disabled universal group was changed"
"WINLOGBEAT_4761";"A member was added to a security-disabled universal group"
"WINLOGBEAT_4762";"A member was removed from a security-disabled universal group"
"WINLOGBEAT_4763";"A security-disabled universal group was deleted"
"WINLOGBEAT_4764";"A groups type was changed"
"WINLOGBEAT_4765";"SID History was added to an account"
"WINLOGBEAT_4766";"An attempt to add SID History to an account failed"
"WINLOGBEAT_4767";"A user account was unlocked"
"WINLOGBEAT_4768";"A Kerberos authentication ticket (TGT) was requested"
"WINLOGBEAT_4769";"A Kerberos service ticket was requested"
"WINLOGBEAT_4770";"A Kerberos service ticket was renewed"
"WINLOGBEAT_4771";"Kerberos pre-authentication failed"
"WINLOGBEAT_4772";"A Kerberos authentication ticket request failed"
"WINLOGBEAT_4773";"A Kerberos service ticket request failed"
"WINLOGBEAT_4774";"An account was mapped for logon"
"WINLOGBEAT_4775";"An account could not be mapped for logon"
"WINLOGBEAT_4776";"The domain controller attempted to validate the credentials for an account"
"WINLOGBEAT_4777";"The domain controller failed to validate the credentials for an account"
"WINLOGBEAT_4778";"A session was reconnected to a Window Station"
"WINLOGBEAT_4779";"A session was disconnected from a Window Station"
"WINLOGBEAT_4780";"The ACL was set on accounts which are members of administrators groups"
"WINLOGBEAT_4781";"The name of an account was changed"
"WINLOGBEAT_4782";"The password hash an account was accessed"
"WINLOGBEAT_4783";"A basic application group was created"
"WINLOGBEAT_4784";"A basic application group was changed"
"WINLOGBEAT_4785";"A member was added to a basic application group"
"WINLOGBEAT_4786";"A member was removed from a basic application group"
"WINLOGBEAT_4787";"A non-member was added to a basic application group"
"WINLOGBEAT_4788";"A non-member was removed from a basic application group.."
"WINLOGBEAT_4789";"A basic application group was deleted"
"WINLOGBEAT_4790";"An LDAP query group was created"
"WINLOGBEAT_4791";"A basic application group was changed"
"WINLOGBEAT_4792";"An LDAP query group was deleted"
"WINLOGBEAT_4793";"The Password Policy Checking API was called"
"WINLOGBEAT_4794";"An attempt was made to set the Directory Services Restore Mode administrator password"
"WINLOGBEAT_4797";"An attempt was made to query the existence of a blank password for an account"
"WINLOGBEAT_4798";"A user's local group membership was enumerated."
"WINLOGBEAT_4799";"A security-enabled local group membership was enumerated"
"WINLOGBEAT_4800";"The workstation was locked"
"WINLOGBEAT_4801";"The workstation was unlocked"
"WINLOGBEAT_4802";"The screen saver was invoked"
"WINLOGBEAT_4803";"The screen saver was dismissed"
"WINLOGBEAT_4816";"RPC detected an integrity violation while decrypting an incoming message"
"WINLOGBEAT_4817";"Auditing settings on object were changed."
"WINLOGBEAT_4818";"Proposed Central Access Policy does not grant the same access permissions as the current Central Access Policy"
"WINLOGBEAT_4819";"Central Access Policies on the machine have been changed"
"WINLOGBEAT_4820";"A Kerberos Ticket-granting-ticket (TGT) was denied because the device does not meet the access control restrictions"
"WINLOGBEAT_4821";"A Kerberos service ticket was denied because the user device or both does not meet the access control restrictions"
"WINLOGBEAT_4822";"NTLM authentication failed because the account was a member of the Protected User group"
"WINLOGBEAT_4823";"NTLM authentication failed because access control restrictions are required"
"WINLOGBEAT_4824";"Kerberos preauthentication by using DES or RC4 failed because the account was a member of the Protected User group"
"WINLOGBEAT_4825";"A user was denied the access to Remote Desktop. By default users are allowed to connect only if they are members of the Remote Desktop Users group or Administrators group"
"WINLOGBEAT_4826";"Boot Configuration Data loaded"
"WINLOGBEAT_4830";"SID History was removed from an account"
"WINLOGBEAT_4864";"A namespace collision was detected"
"WINLOGBEAT_4865";"A trusted forest information entry was added"
"WINLOGBEAT_4866";"A trusted forest information entry was removed"
"WINLOGBEAT_4867";"A trusted forest information entry was modified"
"WINLOGBEAT_4868";"The certificate manager denied a pending certificate request"
"WINLOGBEAT_4869";"Certificate Services received a resubmitted certificate request"
"WINLOGBEAT_4870";"Certificate Services revoked a certificate"
"WINLOGBEAT_4871";"Certificate Services received a request to publish the certificate revocation list (CRL)"
"WINLOGBEAT_4872";"Certificate Services published the certificate revocation list (CRL)"
"WINLOGBEAT_4873";"A certificate request extension changed"
"WINLOGBEAT_4874";"One or more certificate request attributes changed."
"WINLOGBEAT_4875";"Certificate Services received a request to shut down"
"WINLOGBEAT_4876";"Certificate Services backup started"
"WINLOGBEAT_4877";"Certificate Services backup completed"
"WINLOGBEAT_4878";"Certificate Services restore started"
"WINLOGBEAT_4879";"Certificate Services restore completed"
"WINLOGBEAT_4880";"Certificate Services started"
"WINLOGBEAT_4881";"Certificate Services stopped"
"WINLOGBEAT_4882";"The security permissions for Certificate Services changed"
"WINLOGBEAT_4883";"Certificate Services retrieved an archived key"
"WINLOGBEAT_4884";"Certificate Services imported a certificate into its database"
"WINLOGBEAT_4885";"The audit filter for Certificate Services changed"
"WINLOGBEAT_4886";"Certificate Services received a certificate request"
"WINLOGBEAT_4887";"Certificate Services approved a certificate request and issued a certificate"
"WINLOGBEAT_4888";"Certificate Services denied a certificate request"
"WINLOGBEAT_4889";"Certificate Services set the status of a certificate request to pending"
"WINLOGBEAT_4890";"The certificate manager settings for Certificate Services changed."
"WINLOGBEAT_4891";"A configuration entry changed in Certificate Services"
"WINLOGBEAT_4892";"A property of Certificate Services changed"
"WINLOGBEAT_4893";"Certificate Services archived a key"
"WINLOGBEAT_4894";"Certificate Services imported and archived a key"
"WINLOGBEAT_4895";"Certificate Services published the CA certificate to Active Directory Domain Services"
"WINLOGBEAT_4896";"One or more rows have been deleted from the certificate database"
"WINLOGBEAT_4897";"Role separation enabled"
"WINLOGBEAT_4898";"Certificate Services loaded a template"
"WINLOGBEAT_4899";"A Certificate Services template was updated"
"WINLOGBEAT_4900";"Certificate Services template security was updated"
"WINLOGBEAT_4902";"The Per-user audit policy table was created"
"WINLOGBEAT_4904";"An attempt was made to register a security event source"
"WINLOGBEAT_4905";"An attempt was made to unregister a security event source"
"WINLOGBEAT_4906";"The CrashOnAuditFail value has changed"
"WINLOGBEAT_4907";"Auditing settings on object were changed"
"WINLOGBEAT_4908";"Special Groups Logon table modified"
"WINLOGBEAT_4909";"The local policy settings for the TBS were changed"
"WINLOGBEAT_4910";"The group policy settings for the TBS were changed"
"WINLOGBEAT_4911";"Resource attributes of the object were changed"
"WINLOGBEAT_4912";"Per User Audit Policy was changed"
"WINLOGBEAT_4913";"Central Access Policy on the object was changed"
"WINLOGBEAT_4928";"An Active Directory replica source naming context was established"
"WINLOGBEAT_4929";"An Active Directory replica source naming context was removed"
"WINLOGBEAT_4930";"An Active Directory replica source naming context was modified"
"WINLOGBEAT_4931";"An Active Directory replica destination naming context was modified"
"WINLOGBEAT_4932";"Synchronization of a replica of an Active Directory naming context has begun"
"WINLOGBEAT_4933";"Synchronization of a replica of an Active Directory naming context has ended"
"WINLOGBEAT_4934";"Attributes of an Active Directory object were replicated"
"WINLOGBEAT_4935";"Replication failure begins"
"WINLOGBEAT_4936";"Replication failure ends"
"WINLOGBEAT_4937";"A lingering object was removed from a replica"
"WINLOGBEAT_4944";"The following policy was active when the Windows Firewall started"
"WINLOGBEAT_4945";"A rule was listed when the Windows Firewall started"
"WINLOGBEAT_4946";"A change has been made to Windows Firewall exception list. A rule was added"
"WINLOGBEAT_4947";"A change has been made to Windows Firewall exception list. A rule was modified"
"WINLOGBEAT_4948";"A change has been made to Windows Firewall exception list. A rule was deleted"
"WINLOGBEAT_4949";"Windows Firewall settings were restored to the default values"
"WINLOGBEAT_4950";"A Windows Firewall setting has changed"
"WINLOGBEAT_4951";"A rule has been ignored because its major version number was not recognized by Windows Firewall"
"WINLOGBEAT_4952";"Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall"
"WINLOGBEAT_4953";"A rule has been ignored by Windows Firewall because it could not parse the rule"
"WINLOGBEAT_4954";"Windows Firewall Group Policy settings has changed. The new settings have been applied"
"WINLOGBEAT_4956";"Windows Firewall has changed the active profile"
"WINLOGBEAT_4957";"Windows Firewall did not apply the following rule"
"WINLOGBEAT_4958";"Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer"
"WINLOGBEAT_4960";"IPsec dropped an inbound packet that failed an integrity check"
"WINLOGBEAT_4961";"IPsec dropped an inbound packet that failed a replay check"
"WINLOGBEAT_4962";"IPsec dropped an inbound packet that failed a replay check"
"WINLOGBEAT_4963";"IPsec dropped an inbound clear text packet that should have been secured"
"WINLOGBEAT_4964";"Special groups have been assigned to a new logon"
"WINLOGBEAT_4965";"IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI)."
"WINLOGBEAT_4976";"During Main Mode negotiation  IPsec received an invalid negotiation packet."
"WINLOGBEAT_4977";"During Quick Mode negotiation  IPsec received an invalid negotiation packet."
"WINLOGBEAT_4978";"During Extended Mode negotiation  IPsec received an invalid negotiation packet."
"WINLOGBEAT_4979";"IPsec Main Mode and Extended Mode security associations were established."
"WINLOGBEAT_4980";"IPsec Main Mode and Extended Mode security associations were established"
"WINLOGBEAT_4981";"IPsec Main Mode and Extended Mode security associations were established"
"WINLOGBEAT_4982";"IPsec Main Mode and Extended Mode security associations were established"
"WINLOGBEAT_4983";"An IPsec Extended Mode negotiation failed"
"WINLOGBEAT_4984";"An IPsec Extended Mode negotiation failed"
"WINLOGBEAT_4985";"The state of a transaction has changed"
"WINLOGBEAT_5024";"The Windows Firewall Service has started successfully"
"WINLOGBEAT_5025";"The Windows Firewall Service has been stopped"
"WINLOGBEAT_5027";"The Windows Firewall Service was unable to retrieve the security policy from the local storage"
"WINLOGBEAT_5028";"The Windows Firewall Service was unable to parse the new security policy."
"WINLOGBEAT_5029";"The Windows Firewall Service failed to initialize the driver"
"WINLOGBEAT_5030";"The Windows Firewall Service failed to start"
"WINLOGBEAT_5031";"The Windows Firewall Service blocked an application from accepting incoming connections on the network."
"WINLOGBEAT_5032";"Windows Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network"
"WINLOGBEAT_5033";"The Windows Firewall Driver has started successfully"
"WINLOGBEAT_5034";"The Windows Firewall Driver has been stopped"
"WINLOGBEAT_5035";"The Windows Firewall Driver failed to start"
"WINLOGBEAT_5037";"The Windows Firewall Driver detected critical runtime error. Terminating"
"WINLOGBEAT_5038";"Code integrity determined that the image hash of a file is not valid"
"WINLOGBEAT_5039";"A registry key was virtualized."
"WINLOGBEAT_5040";"A change has been made to IPsec settings. An Authentication Set was added."
"WINLOGBEAT_5041";"A change has been made to IPsec settings. An Authentication Set was modified"
"WINLOGBEAT_5042";"A change has been made to IPsec settings. An Authentication Set was deleted"
"WINLOGBEAT_5043";"A change has been made to IPsec settings. A Connection Security Rule was added"
"WINLOGBEAT_5044";"A change has been made to IPsec settings. A Connection Security Rule was modified"
"WINLOGBEAT_5045";"A change has been made to IPsec settings. A Connection Security Rule was deleted"
"WINLOGBEAT_5046";"A change has been made to IPsec settings. A Crypto Set was added"
"WINLOGBEAT_5047";"A change has been made to IPsec settings. A Crypto Set was modified"
"WINLOGBEAT_5048";"A change has been made to IPsec settings. A Crypto Set was deleted"
"WINLOGBEAT_5049";"An IPsec Security Association was deleted"
"WINLOGBEAT_5050";"An attempt to programmatically disable the Windows Firewall using a call to INetFwProfile.FirewallEnabled(FALSE"
"WINLOGBEAT_5051";"A file was virtualized"
"WINLOGBEAT_5056";"A cryptographic self test was performed"
"WINLOGBEAT_5057";"A cryptographic primitive operation failed"
"WINLOGBEAT_5058";"Key file operation"
"WINLOGBEAT_5059";"Key migration operation"
"WINLOGBEAT_5060";"Verification operation failed"
"WINLOGBEAT_5061";"Cryptographic operation"
"WINLOGBEAT_5062";"A kernel-mode cryptographic self test was performed"
"WINLOGBEAT_5063";"A cryptographic provider operation was attempted"
"WINLOGBEAT_5064";"A cryptographic context operation was attempted"
"WINLOGBEAT_5065";"A cryptographic context modification was attempted"
"WINLOGBEAT_5066";"A cryptographic function operation was attempted"
"WINLOGBEAT_5067";"A cryptographic function modification was attempted"
"WINLOGBEAT_5068";"A cryptographic function provider operation was attempted"
"WINLOGBEAT_5069";"A cryptographic function property operation was attempted"
"WINLOGBEAT_5070";"A cryptographic function property operation was attempted"
"WINLOGBEAT_5071";"Key access denied by Microsoft key distribution service"
"WINLOGBEAT_5120";"OCSP Responder Service Started"
"WINLOGBEAT_5121";"OCSP Responder Service Stopped"
"WINLOGBEAT_5122";"A Configuration entry changed in the OCSP Responder Service"
"WINLOGBEAT_5123";"A configuration entry changed in the OCSP Responder Service"
"WINLOGBEAT_5124";"A security setting was updated on OCSP Responder Service"
"WINLOGBEAT_5125";"A request was submitted to OCSP Responder Service"
"WINLOGBEAT_5126";"Signing Certificate was automatically updated by the OCSP Responder Service"
"WINLOGBEAT_5127";"The OCSP Revocation Provider successfully updated the revocation information"
"WINLOGBEAT_5136";"A directory service object was modified"
"WINLOGBEAT_5137";"A directory service object was created"
"WINLOGBEAT_5138";"A directory service object was undeleted"
"WINLOGBEAT_5139";"A directory service object was moved"
"WINLOGBEAT_5140";"A network share object was accessed"
"WINLOGBEAT_5141";"A directory service object was deleted"
"WINLOGBEAT_5142";"A network share object was added."
"WINLOGBEAT_5143";"A network share object was modified"
"WINLOGBEAT_5144";"A network share object was deleted."
"WINLOGBEAT_5145";"A network share object was checked to see whether client can be granted desired access"
"WINLOGBEAT_5146";"The Windows Filtering Platform has blocked a packet"
"WINLOGBEAT_5147";"A more restrictive Windows Filtering Platform filter has blocked a packet"
"WINLOGBEAT_5148";"The Windows Filtering Platform has detected a DoS attack and entered a defensive mode; packets associated with this attack will be discarded."
"WINLOGBEAT_5149";"The DoS attack has subsided and normal processing is being resumed."
"WINLOGBEAT_5150";"The Windows Filtering Platform has blocked a packet."
"WINLOGBEAT_5151";"A more restrictive Windows Filtering Platform filter has blocked a packet."
"WINLOGBEAT_5152";"The Windows Filtering Platform blocked a packet"
"WINLOGBEAT_5153";"A more restrictive Windows Filtering Platform filter has blocked a packet"
"WINLOGBEAT_5154";"The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections"
"WINLOGBEAT_5155";"The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections"
"WINLOGBEAT_5156";"The Windows Filtering Platform has allowed a connection"
"WINLOGBEAT_5157";"The Windows Filtering Platform has blocked a connection"
"WINLOGBEAT_5158";"The Windows Filtering Platform has permitted a bind to a local port"
"WINLOGBEAT_5159";"The Windows Filtering Platform has blocked a bind to a local port"
"WINLOGBEAT_5168";"Spn check for SMB/SMB2 fails."
"WINLOGBEAT_5169";"A directory service object was modified"
"WINLOGBEAT_5170";"A directory service object was modified during a background cleanup task"
"WINLOGBEAT_5376";"Credential Manager credentials were backed up"
"WINLOGBEAT_5377";"Credential Manager credentials were restored from a backup"
"WINLOGBEAT_5378";"The requested credentials delegation was disallowed by policy"
"WINLOGBEAT_5379";"Credential Manager credentials were read"
"WINLOGBEAT_5380";"Vault Find Credential"
"WINLOGBEAT_5381";"Vault credentials were read"
"WINLOGBEAT_5382";"Vault credentials were read"
"WINLOGBEAT_5440";"The following callout was present when the Windows Filtering Platform Base Filtering Engine started"
"WINLOGBEAT_5441";"The following filter was present when the Windows Filtering Platform Base Filtering Engine started"
"WINLOGBEAT_5442";"The following provider was present when the Windows Filtering Platform Base Filtering Engine started"
"WINLOGBEAT_5443";"The following provider context was present when the Windows Filtering Platform Base Filtering Engine started"
"WINLOGBEAT_5444";"The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started"
"WINLOGBEAT_5446";"A Windows Filtering Platform callout has been changed"
"WINLOGBEAT_5447";"A Windows Filtering Platform filter has been changed"
"WINLOGBEAT_5448";"A Windows Filtering Platform provider has been changed"
"WINLOGBEAT_5449";"A Windows Filtering Platform provider context has been changed"
"WINLOGBEAT_5450";"A Windows Filtering Platform sub-layer has been changed"
"WINLOGBEAT_5451";"An IPsec Quick Mode security association was established"
"WINLOGBEAT_5452";"An IPsec Quick Mode security association ended"
"WINLOGBEAT_5453";"An IPsec negotiation with a remote computer failed because the IKE and AuthIP IPsec Keying Modules (IKEEXT) service is not started"
"WINLOGBEAT_5456";"PAStore Engine applied Active Directory storage IPsec policy on the computer"
"WINLOGBEAT_5457";"PAStore Engine failed to apply Active Directory storage IPsec policy on the computer"
"WINLOGBEAT_5458";"PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer"
"WINLOGBEAT_5459";"PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer"
"WINLOGBEAT_5460";"PAStore Engine applied local registry storage IPsec policy on the computer"
"WINLOGBEAT_5461";"PAStore Engine failed to apply local registry storage IPsec policy on the computer"
"WINLOGBEAT_5462";"PAStore Engine failed to apply some rules of the active IPsec policy on the computer"
"WINLOGBEAT_5463";"PAStore Engine polled for changes to the active IPsec policy and detected no changes"
"WINLOGBEAT_5464";"PAStore Engine polled for changes to the active IPsec policy detected changes and applied them to IPsec Services"
"WINLOGBEAT_5465";"PAStore Engine received a control for forced reloading of IPsec policy and processed the control successfully"
"WINLOGBEAT_5466";"PAStore Engine polled for changes to the Active Directory IPsec policy  determined that Active Directory cannot be reached  and will use the cached copy of the Active Directory IPsec policy instead"
"WINLOGBEAT_5467";"PAStore Engine polled for changes to the Active Directory IPsec policy  determined that Active Directory cannot be reached  and found no changes to the policy"
"WINLOGBEAT_5468";"PAStore Engine polled for changes to the Active Directory IPsec policy  determined that Active Directory cannot be reached  found changes to the policy and applied those changes"
"WINLOGBEAT_5471";"PAStore Engine loaded local storage IPsec policy on the computer"
"WINLOGBEAT_5472";"PAStore Engine failed to load local storage IPsec policy on the computer"
"WINLOGBEAT_5473";"PAStore Engine loaded directory storage IPsec policy on the computer"
"WINLOGBEAT_5474";"PAStore Engine failed to load directory storage IPsec policy on the computer"
"WINLOGBEAT_5477";"PAStore Engine failed to add quick mode filter"
"WINLOGBEAT_5478";"IPsec Services has started successfully"
"WINLOGBEAT_5479";"IPsec Services has been shut down successfully"
"WINLOGBEAT_5480";"IPsec Services failed to get the complete list of network interfaces on the computer"
"WINLOGBEAT_5483";"IPsec Services failed to initialize RPC server. IPsec Services could not be started"
"WINLOGBEAT_5484";"IPsec Services has experienced a critical failure and has been shut down"
"WINLOGBEAT_5485";"IPsec Services failed to process some IPsec filters on a plug-and-play event for network interfaces"
"WINLOGBEAT_5632";"A request was made to authenticate to a wireless network"
"WINLOGBEAT_5633";"A request was made to authenticate to a wired network"
"WINLOGBEAT_5712";"A Remote Procedure Call (RPC) was attempted"
"WINLOGBEAT_5888";"An object in the COM+ Catalog was modified"
"WINLOGBEAT_5889";"An object was deleted from the COM+ Catalog"
"WINLOGBEAT_5890";"An object was added to the COM+ Catalog"
"WINLOGBEAT_6144";"Security policy in the group policy objects has been applied successfully"
"WINLOGBEAT_6145";"One or more errors occured while processing security policy in the group policy objects"
"WINLOGBEAT_6272";"Network Policy Server granted access to a user"
"WINLOGBEAT_6273";"Network Policy Server denied access to a user"
"WINLOGBEAT_6274";"Network Policy Server discarded the request for a user"
"WINLOGBEAT_6275";"Network Policy Server discarded the accounting request for a user"
"WINLOGBEAT_6276";"Network Policy Server quarantined a user"
"WINLOGBEAT_6277";"Network Policy Server granted access to a user but put it on probation because the host did not meet the defined health policy"
"WINLOGBEAT_6278";"Network Policy Server granted full access to a user because the host met the defined health policy"
"WINLOGBEAT_6279";"Network Policy Server locked the user account due to repeated failed authentication attempts"
"WINLOGBEAT_6280";"Network Policy Server unlocked the user account"
"WINLOGBEAT_6281";"Code Integrity determined that the page hashes of an image file are not valid..."
"WINLOGBEAT_6400";"BranchCache: Received an incorrectly formatted response while discovering availability of content."
"WINLOGBEAT_6401";"BranchCache: Received invalid data from a peer. Data discarded."
"WINLOGBEAT_6402";"BranchCache: The message to the hosted cache offering it data is incorrectly formatted."
"WINLOGBEAT_6403";"BranchCache: The hosted cache sent an incorrectly formatted response to the client's message to offer it data."
"WINLOGBEAT_6404";"BranchCache: Hosted cache could not be authenticated using the provisioned SSL certificate."
"WINLOGBEAT_6405";"BranchCache: %2 instance(s) of event id %1 occurred."
"WINLOGBEAT_6406";"%1 registered to Windows Firewall to control filtering for the following:"
"WINLOGBEAT_6407";"%1"
"WINLOGBEAT_6408";"Registered product %1 failed and Windows Firewall is now controlling the filtering for %2."
"WINLOGBEAT_6409";"BranchCache: A service connection point object could not be parsed"
"WINLOGBEAT_6410";"Code integrity determined that a file does not meet the security requirements to load into a process. This could be due to the use of shared sections or other issues"
"WINLOGBEAT_6416";"A new external device was recognized by the system."
"WINLOGBEAT_6417";"The FIPS mode crypto selftests succeeded"
"WINLOGBEAT_6418";"The FIPS mode crypto selftests failed"
"WINLOGBEAT_6419";"A request was made to disable a device"
"WINLOGBEAT_6420";"A device was disabled"
"WINLOGBEAT_6421";"A request was made to enable a device"
"WINLOGBEAT_6422";"A device was enabled"
"WINLOGBEAT_6423";"The installation of this device is forbidden by system policy"
"WINLOGBEAT_6424";"The installation of this device was allowed after having previously been forbidden by policy"
"WINLOGBEAT_8191";"Highest System-Defined Audit Message Value"
